kod|ad|tutar|alis_tarihi|kullanim_yeri
253.012.005|SERVO MOTOR|55.989,00|4.06.2012|Bağiçi
253.012.006|SARTOPURE SİSTEMLERİ|529.744,00|18.06.2012|Güzelcekele
253.012.008|HIZ KONTROL CİHAZI DELTA|51.475,00|25.06.2012|Güzelcekele
253.012.010|ULTRANONIK OLÇUM CİHAZI|51.931,00|8.07.2012|Haymana
253.012.011|8 TON OZAN TEMAS TANKI (105 ile birleşecek)|511.870,00|18.07.2012|Bağiçi
253.012.012|VALF ADASI (4adet)|54.248,00|25.07.2012|Güzelcekele
253.012.013|BOGE BASINÇ KOMPRESORU|515.516,90|27.07.2012|Bağiçi
253.012.014|VIDOJET TECHNOLOGİES LTD.ŞTI.|58.324,65|7.11.2012|Bağiçi
253.012.015|STREC FİLM SARMA MAKİNASI|56.780,00|20.12.2012|Bağiçi
253.013.002|TUNÇMATIK GÜÇ KAYNAGI|5853,39|6.05.2013|Haymana
253.013.005|FORKLİFT DİZEL 2,5 (KOMATSU)|561.804,60|18.12.2013|Bağiçi
253.014.002|SU DEPOSU||27.01.2014|Haymana
253.014.003|DAMACANA MAKİNESİ|534.926,00|27.01. 2014|Güzelcekele
253.014.004|SOĞUK SU ÜRETİCİSİ (ciller)|517.463,00|27.01. 2014|Haymana
253.014.005|FORKLİFT 1,8 BENZİNLİ (KOMATSU _GüzeIcekaIe)|568.264,00|27.01. 2014|Güzelcekele
253.014.006|FIRÇALI Diş YIKAMA MAKİNESİ|547.626,00|27.01. 2014|Güzelcekele
253.014.007|BARDAK MAKİNESİ||6.02.2014|Hurda
253.014.008|TRANSPALET|55.100,00|6.02. 2014|Güzelcekele
253.014.009|OZON DEZENFEKSİYON SİSTEMİ|548.520,00|3.04.2014|Güzelcekele
253.014.010|OZON TEMAS TANKI|539.509,00|3.04.2014|Güzelcekele
253.014.011|ANI SU ISITICI|549.442,00|18.04.2014|Bağiçi
253.014.012|INKJET PRİNTER|513.434,00|26.05.2014|Bağiçi
253.014.013|EBARA PASLANMAZ ÇELIKSAN POMPA|54.956,00|27.05.2014|Haymana
253.014.014|230 KVA JENARATOR (Alimar)|564.900,00|28.05.2014|Bağiçi
253.014.015|DAMACANA DOLUM MAKİNESİ|541.300,00|30.05.2014|Güzelcekele
253.014.016|OZON TEMAS SİSTEMİ (Paslanmaz çelik su Tankı)|546.070,00|7.07.2014|Güzelcekele
253.014.017|POMPA-KOLLEKTOR-VANA-BORU||7.07.2014|Güzelcekele
253.014.019|SU ARITMA CİHAZI|549.442,00|8.07.2014|Haymana
253.014.020|ULTRAFİLİTRESYON||10.07.2014|Güzelcekele
253.014.022|SOGUTMALI INKUBATOR-STRILIZATOR|519.280,00|24.09.2014|Güzelcekele
253.015.001|KULP TAKMA MAKİNASI-KODLAMA-ETIKETLEME 52.710.312,71||12.06.2015|Bağiçi
253.015.002|ŞİŞİRME -şışE DOLUM-ETIKETLEME-PAKETLEME (Krones_Haymana) 512.158.093,49||12.06.2015|Haymana
253.015.002|Atlanta-Cosme Kronas- 5'Iik Pet Hattı 510.832.208,71||12.05.2015|Bağiçi
253.015.004|INFORM PYRAMID DSP|550.740,00|1.09.2015|Bağiçi
253.015.005|NON MİCRO TERS OZMOZ CİHAZI||15.09.2015|Bağiçi
253.015.006|JUMBO HOUSNIG-FILTRE JUMBO-FILTRE HOUSING-MEMBRAN|592.773,00|16.11.2015|Bağiçi
253.015.007|INPORT UPS|550.445,00|21.12.2015|Bağiçi
253.017.001|RAMPALAMA EMNİYET BARİYERİ Demirbaş Mahiyetinde değil)|54.560,00|13.01.2017|Bağiçi
253.017.002|KUYU BACASI-YÜKLEME RAMPASI (Demirbaş Mahiyetinde değil)|52.900,00|15.01. 2017|Güzelcekele
253.017.003|YÜKLEME ALANI SONDURMA (Demirbaş Mahiyetinde değil)|54.000,00|19.01. 2017|Güzelcekele
253.017.004|YÜKLEME ALANI SUNDURMANA TRAPEZ SAC (Demirbaş Mahiyetinde değil)|54.400,00|20.01. 2017|Güzelcekele
253.018.001|HİDROFOR SETİ (Fatura yak)|590.825,00|21.12.2018|Bağiçi
253.018.002|SU HAZIRLAMA UNITESI VE TRANSFER EKİPMAN 20 MB PASLANMAZ DEPO||27.12.2018|Haymana
253.018.003|SU HAZIRLAMA UNITESI VE TRANSFER EKİPMAN 40m3 PASLANMAZ DEPO OZON JENERATO|5400.ooo,oo|28.12.2018|Bağiçi
253.021.003|TRAPEZ SAC GÜÇLÜ BORU PROFİL (Demirbaş Mahiyetinde|55.657,60|4.03.2021|Güzelcekele
253.021.004|SEĞMEN FABRİKA İSKAN RUHSATI BEDELİ (Demirbaş Mahiyetinde|512.000,00|11.03.2021|Haymana
253.022.001|İNCİ FABRİKA ATALANTA PALETLEME PAKET ÇEVİRME (Demirbaş Mahiyetinde değil)|56.498,48|15.03.2022|Bağiçi
253.022.002|İNCİ SU GÖLBAŞI VARİOPACK SHRINK YEDEK PARÇASI (Demirbaş Mahiyetinde değil)|55.734,90|15.03.2022|Bağiçi
253.022.003|GÖLBAŞI FAB KOMPANZASYON KALIP HAVA TAHLİYE BOBİNLERİ (Demirbaş Mahiyetinde|530.802,80|15.03.2022|Bağiçi
253.022.004|İNCİ SU GÖLBAŞI KOSME ŞİŞİRME MAK GİRİŞ VE ÇIKIŞ YILDIZ şişE TUTUCU (Demirbaş Ma|57.668,24|15.03.2022|Bağiçi
253.022.005|FİLİZ FAB. DAMACANA HATTI REVİZYONU (Güzelcekale)|535.000,00|23.03.2022|Güzelcekele
253.022.006|SEĞMEN FAB KRONES PET HATTI DOLUM VE PAKETLEME YEDEK PARÇASI (_Haymana)|56.535,20|30.03.2022|Haymana
253.022.007|HAYMANA FAB. KRONES PET HATTI DOLUM VE PALETLEME YEDEK PARÇASI (_Hayman|532.676,00|30.03.2022|Haymana
253.022.008|KRONES MAKİNA BAKIMI (Kaşme ile Birleştir)|517.736,44|30.03.2022|Bağiçi
253.022.009|KRONES MAK CENTRAL PROCESSING UNİT DATA MEMORY KEY (Kaşme ile Birleştir)|538.436,32|31.03.2022|Bağiçi
253.022.010|FİLİZ FABRİKA||10.05.2022|Güzelcekele
253.022.011|OZON MAK PROB KALİBRASYON EKRAN TAMİRİ YENİ EKRAN (Güzelcekale) 46 ile birleştir|517.250,00|26.05.2022|Güzelcekele
253.023.001|BAĞiçi FABRİKA PANEL MONTAJ (AZİMYAPI SOĞUTMA) (Demirbaş Mahiyetinde değil)|521.051,15|21.03.2023|Bağiçi
253.023.002|KRONES MAKİNA BAKIMI (KRONES MAKİNA SAN. Tic.) (Kaşme ile Birleştir)|558.675,23|14.04.2023|Bağiçi
253.023.003|KRONES MAKİNA BAKIMI (KRONES MAKİNA SAN. Tic.) (Kaşme ile Birleştir)|542.194,69|14.04.2023|Bağiçi
253.023.004|KRONES MAKİNA BAKIMI (KRONES MAKİNA SAN. ile Birleştir)|561.651,64|23.05.2023|Bağiçi
253.023.005|TRAFO BAKIM ONARIM (MAYEN ENERJİ LTD. ŞTİ.) (_Haymana)|591.340,00|31.05.2023|Haymana
253.023.006|KRONES MAKİNA BAKIMI (KRONES MAKİNA SAN. TİC.) (Kaşme İle Birleştir)|530.111,48|9.06.2023|Haymana
253.023.007|KRONES MAKİNA BAKIMI (KRONES MAKİNA SAN. TİC.) (Kaşme İle Birleştir)|576.784,27|9.06.2023|Haymana
253.023.008|KRONES MAKİNA BAKIMI (KRONES MAKİNA SAN. TİC.) (Kaşme İle Birleştir)|518.819,68|9.06.2023|Haymana
253.023.009|KRONES MAKİNA BAKIMI (KRONES MAKİNA SAN. TİC.) (Kaşme İle Birleştir)|533.749,95|9.06.2023|Haymana
253.023.010|KRONES MAKİNA BAKIMI (KRONES MAKİNA SAN. TİC.) (Kaşme İle Birleştir)|518.819,68|9.06.2023|Haymana
253.023.011|KRONES MAKİNA BAKIMI (KRONES MAKİNA SAN. TİC.) (Kaşme İle Birleştir)|5412.117,25|22.06.2023|Haymana
253.023.012|KRONES MAKİNA BAKIMI (KRONES MAKİNA SAN. TİC.) (Kaşme İle Birleştir) 51.198.007,24||22.06.2023|Haymana
253.023.013|KRONES MAKİNA BAKIMI (KRONES MAKİNA SAN. TİC.) (Kaşme İle Birleştir) 51.115.078,87||5.07.2023|Haymana
253.023.014|KRONES MAKİNA BAKIMI (KRONES MAKİNA SAN. TİC.) (Kaşme İle Birleştir)||5.07.2023|Haymana
253.023.015|80 GR OZON MAK HAVA GİRİŞ VALFİ (NARLIBAHÇE DOĞAL GIDA ARITMA Aş)|548.234,00|6.07.2023|Bağiçi
253.023.016|SENSOR PLATE SÜRME LEVHA (BOSFORO MÜH. PROJE SAN. Tic. Aş.)|554.302,29|6.07.2023|Bağiçi
253.023.017|KRONES MAKİNA BAKIMI (KRONES MAKİNA SAN. Tic.)|5461.177,79|7.07.2023|Bağiçi
253.023.018|KRONES MAKİNA BAKIMI (KRONES MAKİNA SAN. Tic.)||11.07.2023|Bağiçi
253.023.019|KRONES MAKİNA BAKIMI (KRONES MAKİNA SAN. Tic.)|547.353,13|12.07.2023|Bağiçi
253.023.020|DÖNÜŞLÜ BANT DişLisi (ÇAĞRI ENDÜSTRİ MALLARI SAN. Tic. A.Ş.) (Kosme İle Birleştir)|525.090,44|14.07.2023|Bağiçi
253.023.021|KRONES MAKİNA BAKIMI (KRONES MAKİNA SAN. Tic.)|584.814,84|17.07.2023|Bağiçi
253.023.022|KRONES MAKİNA BAKIMI (KRONES MAKİNA SAN. Tic.)|536.487,92|18.07.2023|Bağiçi
253.023.023|KOMPROSÖR TAMİR BAKIM (DALGAKIRAN MAK. SAN. VE Tic. A Ş )|518.233,31|28.07.2023|Bağiçi
253.023.024|DAMACANA MAKİNASI OTOMASYON (NEJMETTİN ACAR)|518.000,00|1.08.2023|Bağiçi
253.023.025|DAMACANA MAKİNASI TAMİR BAKIM (İRFAN POMPA MOTOR SAN. TİC. A Ş )|519.237,44|9.08.2023|Güzelcekele
253.023.026|KRONES MAKİNA BAKIMI (KRONES MAKİNA SAN. Tic.)|56.241,79|9.08.2023|Bağiçi
253.023.027|REDİKTÖR DİŞLİ TAKIMI (KAMÇI PLASTİK MAKİNA SAN. Tic. Aş.)|583.990,00|18.08.2023|Bağiçi
253.023.028|MAKİNE YEDEK PARÇA (XFORM MÜHENDİSLİK LTD. ŞTİ.)|515.000,00|21.08.2023|Bağiçi
253.023.029|KRONES MAKİNA BAKIMI (KRONES MAKİNA SAN. Tic.)|522.816,94|22.08.2023|Bağiçi
253.023.030|KRONES MAKİNA BAKIMI (KRONES MAKİNA SAN. Tic.)||22.08.2023|Bağiçi
253.023.031|TEMOS TANKI BAKIM ONARIM (ALFA MAKİNEVE KİMYA SAN. Tic.)|517.430,33|23.08.2023|Bağiçi
253.023.032|KRONES MAKİNA BAKIMI (KRONES MAKİNA SAN. Tic.)|518.588,32|24.08.2023|Bağiçi
253.023.033|AZOT VE GAZ TANKLARI BAKIM ONARIM (ALİ DEMİR)|529.898,95|26.08.2023|Bağiçi
253.023.034|KRONES MAKİNA BAKIMI (KRONES MAKİNA SAN. Tic.)|557.220,46|31.08.2023|Haymana
253.023.035|KRONES MAKİNA BAKIMI (KRONES MAKİNA SAN. Tic.) 52.397.338,12||14.09.2023|Haymana
253.023.036|KRONES MAKİNA BAKIMI (KRONES MAKİNA SAN. Tic.)|552.452,22|19.09.2023|Haymana
253.023.037|FORKLIFT FG25 T -16 BAKIM ONARIM (HişKA İŞ MAKİNALARI SAN. VE Tic.)|59.310,00|24.10.2023|Bağiçi
253.023.038|PAKETLEME SARI PİM ŞİŞİRME KALIP PİMİ ETİKET MİLİ (KAMÇI PLASTİK)|514.172,77|27.10.2023|Bağiçi
253.023.039|5 LT ETİKET YILDIZ ALT BAĞLANTI APARATI (KAMÇI PLASTİK)|58.000,00|27.10.2023|Bağiçi
253.023.040|KOMATSU FORKLIFT BAKIM ONARIM (HişKA İŞ MAKİNALARI SAN. VE Tic.)|55.200,00|1.11.2023|Bağiçi
253.023.041|TERS OZMOS TAMİR BAKIM ONARIM (SAFİR OZON SİSTEMLERİ)|525.000,00|2.11.2023|Bağiçi
253.023.042|ANTİFİRİZ MARŞ DİNAMOSU ISITMA BUJİLERİ (HişKA İŞ MAKİNALARI SAN. Tic.)|530.380,00|3.11.2023|Güzelcekele
253.023.043|KRONES MAKİNA BAKIMI (KRONES MAKİNA SAN. Tic.)||9.11.2023|Haymana
253.023.044|KRONES MAKİNA BAKIMI (KRONES MAKİNA SAN. Tic.)|533.942,90|14.11.2023|Haymana
253.023.045|DAMACANA YÜKLEME ROBOTU (ABDULLAH KAMÇI PLASTİK)|578.000,00|15.11.2023|Güzelcekele
253.023.046|KRONES MAKİNA BAKIMI (KRONES MAKİNA SAN. Tic.)||17.11.2023|Haymana
253.023.047|KRONES MAKİNA BAKIMI (KRONES MAKİNA SAN. Tic.)|53.936,07|20.11.2023|Haymana
253.023.048|KALIN YASLAMA KAMASI (SİMERA GRUP MAKİNA SAN. Tic.)|512.150,00|24.11.2023|Bağiçi
253.023.049|KRONES MAKİNA BAKIMI (KRONES MAKİNA SAN. Tic.) 51.390.216,02||28.11.2023|Haymana
253.023.050|ŞİŞİRME MAKİNALARI ISITICI LAMBA (ELCON ELEKTRİK OTOMASYON SA. Tic.)|521.690,00|5.12.2023|Bağiçi
