Sıra No;İrsaliye No;Nakliye Tarihi;Çıkış Yeri;Sevk Yeri;Birim Fiyat;Birim Fiyat %40;Motorin Baz Fiyatı;Günlük Motorin Fiyatı;Motorin Fiyat Farkı;Motorin Fiyat Farkı %;Zam / İndirim;KDV Hariç Toplam;KDV Tutarı;KDV Tevkifat;Toplam Fiyat;;;
23;SEI2026000000452;9.02.2026;BÜYÜKYAĞCI;ÇİFTLİK;₺7.920,00;₺3.168,00;₺54,766;₺57,673;₺2,91;5,31%;₺0,00;₺7.920,00;₺1.584,00;₺316,80;₺9.187,20;;;
24;SEI2026000000461;10.02.2026;BÜYÜKYAĞCI;ÇİFTLİK;₺7.920,00;₺3.168,00;₺54,766;₺57,683;₺2,92;5,33%;₺0,00;₺7.920,00;₺1.584,00;₺316,80;₺9.187,20;;;
25;SEI2026000000462;10.02.2026;BÜYÜKYAĞCI;ÇİFTLİK;₺7.920,00;₺3.168,00;₺54,766;₺57,683;₺2,92;5,33%;₺0,00;₺7.920,00;₺1.584,00;₺316,80;₺9.187,20;;;
26;SEI2026000000465;10.02.2026;BÜYÜKYAĞCI;ÇİFTLİK;₺7.920,00;₺3.168,00;₺54,766;₺57,683;₺2,92;5,33%;₺0,00;₺7.920,00;₺1.584,00;₺316,80;₺9.187,20;;;
27;SEI2026000000469;10.02.2026;BÜYÜKYAĞCI;ÇİFTLİK;₺7.920,00;₺3.168,00;₺54,766;₺57,683;₺2,92;5,33%;₺0,00;₺7.920,00;₺1.584,00;₺316,80;₺9.187,20;;;
28;SEI2026000000476;10.02.2026;BÜYÜKYAĞCI;ÇİFTLİK;₺7.920,00;₺3.168,00;₺54,766;₺57,683;₺2,92;5,33%;₺0,00;₺7.920,00;₺1.584,00;₺316,80;₺9.187,20;;;
29;SEI2026000000474;10.02.2026;BÜYÜKYAĞCI;ÇİFTLİK;₺7.920,00;₺3.168,00;₺54,766;₺57,683;₺2,92;5,33%;₺0,00;₺7.920,00;₺1.584,00;₺316,80;₺9.187,20;;;
30;SEI2026000000483;11.02.2026;GÜZELCEKALE;ÇİFTLİK;₺5.445,00;₺2.178,00;₺54,766;₺57,705;₺2,94;5,37%;₺0,00;₺5.445,00;₺1.089,00;₺217,80;₺6.316,20;;;
31;SEI2026000000481;11.02.2026;BÜYÜKYAĞCI;ÇİFTLİK;₺7.920,00;₺3.168,00;₺54,766;₺57,705;₺2,94;5,37%;₺0,00;₺7.920,00;₺1.584,00;₺316,80;₺9.187,20;;;
32;SEI2026000000499;12.02.2026;BÜYÜKYAĞCI;ÇİFTLİK;₺7.920,00;₺3.168,00;₺54,766;₺57,750;₺2,98;5,45%;₺0,00;₺7.920,00;₺1.584,00;₺316,80;₺9.187,20;;;
